Player Name,Conference,Team,Points,Rebounds,Assists,Steals,Blocks,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,OREB,DREB,TOV
LeBron James,East,Cavaliers,27.5,8.6,9.1,1.4,0.9,82,36.9,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,1.2,7.5,4.2
Giannis Antetokounmpo,East,Bucks,26.9,10,4.8,1.5,1.4,75,36.7,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,2.1,8,3
Kyrie Irving,East,Celtics ,24.4,3.8,5.1,1.1,0.3,60,32.2,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,0.6,3.2,2.3
Victor Oladipo,East,Pacers,23.1,5.2,4.3,2.4,0.8,75,34,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,0.6,4.6,2.9
DeMar DeRozan,East,Raptors,23,3.9,5.2,1.1,0.3,80,33.9,8.1,17.7,45.6,1.1,3.6,31,5.8,7,0.7,3.2,2.2
Joel Embiid,East,76ers,22.9,11,3.2,0.6,1.8,63,30.3,8.1,16.8,48.3,1,3.4,30.8,5.7,7.4,2.3,8.7,3.7
Bradley Beal,East,Wizards,22.6,4.4,4.5,1.2,0.4,82,36.3,8.3,18.1,46,2.4,6.5,37.5,3.6,4.5,0.7,3.7,2.6
Kemba Walker,East,Hornets,22.1,3.1,5.6,1.1,0.3,80,34.2,7.4,17,43.1,2.9,7.5,38.4,4.5,5.3,0.4,2.7,2.2
Khris Middleton,East,Bucks,20.1,5.2,4,1.5,0.3,82,36.4,7.2,15.5,46.6,1.8,5,35.9,3.9,4.4,0.5,4.7,2.3
Dennis Schroder,East,Hawks,19.4,3.1,6.2,1.1,0.1,67,31,7.5,17.1,43.6,1.1,3.9,29,3.4,4,0.7,2.4,2.7
Eric Bledsoe,East,Bucks,17.8,3.8,5,2,0.6,74,31.4,6.3,13.4,47.3,1.7,4.9,34.7,3.4,4.3,0.7,3.1,2.9
Aaron Gordon,East,Magic,17.6,7.9,2.3,1,0.8,58,32.9,6.5,14.9,43.4,2,5.9,33.6,2.7,3.9,1.5,6.4,1.8
Kevin Love,East,Cavaliers,17.6,9.3,1.7,0.7,0.4,59,28,5.7,12.4,45.8,2.3,5.6,41.5,4,4.5,1.7,7.5,1.5
Goran Dragic,East,Heat,17.3,4.1,4.8,0.8,0.2,75,31.7,6.5,14.3,45,1.5,4,37,2.9,3.6,0.7,3.4,2.2
JJ Redick,East,76ers,17.1,2.5,3,0.5,0.1,70,30.2,5.8,12.6,46,2.8,6.6,42,2.8,3.1,0.1,2.4,1.5
Dwight Howard,East,Hornets,16.6,12.5,1.3,0.6,1.6,81,30.4,6.2,11.2,55.5,0,0.1,14.3,4.1,7.2,3.1,9.3,2.6
Kyle Lowry,East,Raptors ,16.2,5.6,6.9,1.1,0.2,78,32.2,5.2,12.1,42.7,3.1,7.6,39.9,2.9,3.3,0.8,4.7,2.3
Ben Simmons,East,76ers,15.8,8.1,8.2,1.7,0.9,81,33.7,6.7,12.3,54.5,0,0.1,0,2.4,4.2,1.8,6.3,3.4
Lauri Markkanen,East,Bulls,15.2,7.5,1.2,0.6,0.6,68,29.7,5.5,12.7,43.4,2.1,5.9,36.2,2.1,2.4,1.2,6.3,1.2
Andre Drummond,East,Pistons,15,16,3,1.5,1.6,78,33.7,6,11.3,52.9,0,0.1,0,3.1,5.1,5.1,10.9,2.6
Otto Porter Jr.,East,Wizards,14.7,6.4,2,1.5,0.5,77,31.6,5.8,11.5,50.3,1.8,4.1,44.1,1.4,1.7,1.3,5.1,1
Dario Saric,East,76ers,14.6,6.7,2.6,0.7,0.3,78,29.6,5.2,11.4,45.3,2,5.1,39.3,2.3,2.7,2,4.7,1.9
Jaylen Brown,East,Celtics ,14.5,4.9,1.6,1,0.4,70,30.7,5.3,11.5,46.5,1.7,4.4,39.5,2.1,3.3,0.9,4,1.8
Bojan Bogdanovic,East,Pacers,14.3,3.4,1.5,0.7,0.1,80,30.8,5.1,10.7,47.4,1.9,4.8,40.2,2.2,2.6,0.4,3,1.3
Taurean Prince,East,Hawks,14.1,4.7,2.6,1,0.5,82,30,5.1,11.9,42.6,2.1,5.6,38.5,1.9,2.2,0.6,4.1,2.3
James Harden,West,Rockets,30.4,5.4,8.8,1.8,0.7,72,35.4,9,20.1,44.9,3.7,10,36.7,8.7,10.1,0.6,4.8,4.4
Anthony Davis,West,Pelicans ,28.1,11.1,2.3,1.5,2.6,75,36.4,10.4,19.5,53.4,0.7,2.2,34,6.6,8,2.5,8.6,2.2
Damian Lillard,West,Trailblazers,26.9,4.5,6.6,1.1,0.4,73,36.6,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,0.8,3.6,2.8
Kevin Durant,West,Warriors ,26.4,6.8,5.4,0.7,1.8,68,34.2,9.3,18,51.6,2.5,6.1,41.9,5.3,5.9,0.5,6.4,3
Russell Westbrook,West,Thunder,25.4,10.1,10.3,1.8,0.3,80,36.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,1.9,8.2,4.8
LaMarcus Aldridge,West,Spurs,23.1,8.5,2,0.6,1.2,75,33.5,9.2,18,51,0.4,1.2,29.3,4.5,5.3,3.3,5.2,1.5
Lou Williams,West,Clippers,22.6,2.5,5.3,1.1,0.2,79,32.8,7.4,16.9,43.5,2.4,6.6,35.9,5.5,6.2,0.5,2,3
Jimmy Butler,West,Timberwolves,22.2,5.3,4.9,2,0.4,59,36.7,7.4,15.6,47.4,1.2,3.4,35,6.2,7.2,1.3,4,1.8
Paul George,West,Thunder,21.9,5.7,3.3,2,0.5,79,36.6,7.3,17,43,3.1,7.7,40.1,4.3,5.2,0.9,4.7,2.7
CJ McCollum,West,Trailblazers,21.4,4,3.4,1,0.4,81,36.1,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,0.7,3.3,1.9
Karl-Anthony Towns,West,Timberwolves,21.3,12.3,2.4,0.8,1.4,82,35.6,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,2.9,9.4,1.9
Donovan Mitchell,West,Jazz,20.5,3.7,3.7,1.5,0.3,79,33.4,7.5,17.2,43.7,2.4,7,34,3,3.8,0.7,3.1,2.7
Klay Thompson,West,Warriors ,20,3.8,2.5,0.8,0.5,73,34.3,7.9,16.2,48.8,3.1,7.1,44,1.1,1.3,0.4,3.4,1.8
TJ Warren,West,Suns,19.6,5.1,1.3,1,0.6,65,33,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,1.9,3.2,1.3
Jrue Holiday,West,Pelicans ,19,4.5,6,1.5,0.8,81,36.1,7.6,15.4,49.4,1.5,4.4,33.7,2.3,2.9,0.8,3.7,2.6
Harrison Barnes,West,Mavericks ,18.9,6.1,2,0.6,0.2,77,34.2,7,15.7,44.5,1.5,4.3,35.7,3.4,4.1,1,5.1,1.5
Chris Paul,West,Rockets,18.6,5.4,7.9,1.7,0.2,58,31.8,6.3,13.8,46,2.5,6.5,38,3.5,3.8,0.6,4.8,2.2
Nikola Jokic,West,Nuggets,18.5,10.7,6.1,1.2,0.8,75,32.6,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,2.6,8.1,2.8
Eric Gordon,West,Rockets,18,2.5,2.2,0.6,0.4,69,31.2,6,14.1,42.8,3.2,8.8,35.9,2.8,3.5,0.4,2.1,1.9
Andrew Wiggins,West,Timberwolves,17.7,4.4,2,1.1,0.6,82,36.3,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,1,3.4,1.7
Gary Harris,West,Nuggets,17.5,2.6,2.9,1.8,0.2,67,34.4,6.6,13.6,48.5,2.3,5.9,39.6,2,2.4,0.6,2.1,1.8
Marc Gasol,West,Grizzlies ,17.2,8.1,4.2,0.7,1.4,73,33,5.9,14.2,42,1.5,4.4,34.1,3.8,4.6,1.1,7,2.7
Jamal Murray,West,Nuggets,16.7,3.7,3.4,1,0.3,81,31.7,5.9,13.1,45.1,2,5.4,37.8,2.8,3.1,1,2.7,2.1
Carmelo Anthony,West,Thunder ,16.2,5.8,1.3,0.6,0.6,78,32.1,6.1,15,40.4,2.2,6.1,35.7,1.9,2.5,0.9,4.9,1.3
Julius Randle,West,Lakers,16.1,8,2.6,0.5,0.5,82,26.7,6.1,11,55.8,0.1,0.5,22.2,3.7,5.2,2.2,5.8,2.6